HomeTeam	AwayTeam	FTH Goals	FTA Goals	FT Result
Liverpool	Leicester	1	1	D
Tottenham	Watford	2	1	H
Wolves	West Ham	3	0	H
Newcastle	Man City	2	1	H
Huddersfield	Everton	0	1	A
Fulham	Brighton	4	2	H
Man United	Burnley	2	2	D
Arsenal	Cardiff	2	1	H
Fulham	Tottenham	1	2	A
Huddersfield	Man City	0	3	A
Bournemouth	West Ham	2	0	H
Newcastle	Cardiff	3	0	H
Arsenal	Chelsea	2	0	H
Man United	Brighton	2	1	H
Southampton	Everton	2	1	H
Watford	Burnley	0	0	D
Wolves	Leicester	4	3	H
Liverpool	Crystal Palace	4	3	H
Man City	Wolves	3	0	H
Tottenham	Man United	0	1	A
Everton	Bournemouth	2	0	H
Leicester	Southampton	1	2	A
Burnley	Fulham	2	1	H
Chelsea	Newcastle	2	1	H
Cardiff	Huddersfield	0	0	D
Crystal Palace	Watford	1	2	A
Brighton	Liverpool	0	1	A
West Ham	Arsenal	1	0	H
Man City	Liverpool	2	1	H
Huddersfield	Burnley	1	2	A
Chelsea	Southampton	0	0	D
West Ham	Brighton	2	2	D
Wolves	Crystal Palace	0	2	A
Newcastle	Man United	0	2	A
Bournemouth	Watford	3	3	D
Arsenal	Fulham	4	1	H
Cardiff	Tottenham	0	3	A
Everton	Leicester	0	1	A
Southampton	Man City	1	3	A
Crystal Palace	Chelsea	0	1	A
Burnley	West Ham	2	0	H
Man United	Bournemouth	4	1	H
Leicester	Cardiff	0	1	A
Tottenham	Wolves	1	3	A
Fulham	Huddersfield	1	0	H
Brighton	Everton	1	0	H
Watford	Newcastle	1	1	D
Liverpool	Arsenal	5	1	H
Southampton	West Ham	1	2	A
Crystal Palace	Cardiff	0	0	D
Burnley	Everton	1	5	A
Tottenham	Bournemouth	5	0	H
Liverpool	Newcastle	4	0	H
Fulham	Wolves	1	1	D
Man United	Huddersfield	3	1	H
Leicester	Man City	2	1	H
Watford	Chelsea	1	2	A
Brighton	Arsenal	1	1	D
Everton	Tottenham	2	6	A
West Ham	Watford	0	2	A
Cardiff	Man United	1	5	A
Man City	Crystal Palace	2	3	A
Arsenal	Burnley	3	1	H
Bournemouth	Brighton	2	0	H
Chelsea	Leicester	0	1	A
Huddersfield	Southampton	1	3	A
Newcastle	Fulham	0	0	D
Wolves	Liverpool	0	2	A
Brighton	Chelsea	1	2	A
Southampton	Arsenal	3	2	H
Liverpool	Man United	3	1	H
Crystal Palace	Leicester	1	0	H
Watford	Cardiff	3	2	H
Fulham	West Ham	0	2	A
Huddersfield	Newcastle	0	1	A
Wolves	Bournemouth	2	0	H
Man City	Everton	3	1	H
Tottenham	Burnley	1	0	H
Everton	Watford	2	2	D
Newcastle	Wolves	1	2	A
West Ham	Crystal Palace	3	2	H
Man United	Fulham	4	1	H
Arsenal	Huddersfield	1	0	H
Chelsea	Man City	2	0	H
Bournemouth	Liverpool	0	4	A
Burnley	Brighton	1	0	H
Cardiff	Southampton	1	0	H
Leicester	Tottenham	0	2	A
Burnley	Liverpool	1	3	A
Tottenham	Southampton	3	1	H
Man United	Arsenal	2	2	D
Fulham	Leicester	1	1	D
Wolves	Chelsea	2	1	H
Everton	Newcastle	1	1	D
Watford	Man City	1	2	A
West Ham	Cardiff	3	1	H
Bournemouth	Huddersfield	2	1	H
Brighton	Crystal Palace	3	1	H
Arsenal	Tottenham	4	2	H
Chelsea	Fulham	2	0	H
Liverpool	Everton	1	0	H
Southampton	Man United	2	2	D
Huddersfield	Brighton	1	2	A
Newcastle	West Ham	0	3	A
Leicester	Watford	2	0	H
Man City	Bournemouth	3	1	H
Crystal Palace	Burnley	2	0	H
Cardiff	Wolves	2	1	H
Burnley	Newcastle	1	2	A
Bournemouth	Arsenal	1	2	A
Wolves	Huddersfield	0	2	A
Fulham	Southampton	3	2	H
West Ham	Man City	0	4	A
Watford	Liverpool	0	3	A
Brighton	Leicester	1	1	D
Man United	Crystal Palace	0	0	D
Everton	Cardiff	1	0	H
Tottenham	Chelsea	3	1	H
Liverpool	Fulham	2	0	H
Chelsea	Everton	0	0	D
Man City	Man United	3	1	H
Arsenal	Wolves	1	1	D
Southampton	Watford	1	1	D
Newcastle	Bournemouth	2	1	H
Huddersfield	West Ham	1	1	D
Leicester	Burnley	0	0	D
Crystal Palace	Tottenham	0	1	A
Cardiff	Brighton	2	1	H
Huddersfield	Fulham	1	0	H
Man City	Southampton	6	1	H
Chelsea	Crystal Palace	3	1	H
Arsenal	Liverpool	1	1	D
Everton	Brighton	3	1	H
West Ham	Burnley	4	2	H
Newcastle	Watford	1	0	H
Cardiff	Leicester	0	1	A
Wolves	Tottenham	2	3	A
Bournemouth	Man United	1	2	A
Tottenham	Man City	0	1	A
Crystal Palace	Arsenal	2	2	D
Burnley	Chelsea	0	4	A
Man United	Everton	2	1	H
Watford	Huddersfield	3	0	H
Fulham	Bournemouth	0	3	A
Brighton	Wolves	1	0	H
Liverpool	Cardiff	4	1	H
Southampton	Newcastle	0	0	D
Leicester	West Ham	1	1	D
Arsenal	Leicester	3	1	H
Everton	Crystal Palace	2	0	H
Chelsea	Man United	2	2	D
West Ham	Tottenham	0	1	A
Wolves	Watford	0	2	A
Bournemouth	Southampton	0	0	D
Newcastle	Brighton	0	1	A
Huddersfield	Liverpool	0	1	A
Man City	Burnley	5	0	H
Cardiff	Fulham	4	2	H
Fulham	Arsenal	1	5	A
Southampton	Chelsea	0	3	A
Liverpool	Man City	0	0	D
Crystal Palace	Wolves	0	1	A
Leicester	Everton	1	2	A
Man United	Newcastle	3	2	H
Burnley	Huddersfield	1	1	D
Tottenham	Cardiff	1	0	H
Watford	Bournemouth	0	4	A
Brighton	West Ham	1	0	H
Bournemouth	Crystal Palace	2	1	H
Cardiff	Burnley	1	2	A
Man City	Brighton	2	0	H
Newcastle	Leicester	0	2	A
Wolves	Southampton	2	0	H
Everton	Fulham	3	0	H
Huddersfield	Tottenham	0	2	A
Arsenal	Watford	2	0	H
Chelsea	Liverpool	1	1	D
West Ham	Man United	3	1	H
West Ham	Chelsea	0	0	D
Arsenal	Everton	2	0	H
Liverpool	Southampton	3	0	H
Crystal Palace	Newcastle	0	0	D
Cardiff	Man City	0	5	A
Leicester	Huddersfield	3	1	H
Brighton	Tottenham	1	2	A
Man United	Wolves	1	1	D
Burnley	Bournemouth	4	0	H
Fulham	Watford	1	1	D
Southampton	Brighton	2	2	D
Wolves	Burnley	1	0	H
Everton	West Ham	1	3	A
Bournemouth	Leicester	4	2	H
Tottenham	Liverpool	1	2	A
Man City	Fulham	3	0	H
Huddersfield	Crystal Palace	0	1	A
Newcastle	Arsenal	1	2	A
Watford	Man United	1	2	A
Chelsea	Cardiff	4	1	H
Cardiff	Arsenal	2	3	A
Burnley	Man United	0	2	A
Watford	Tottenham	2	1	H
Brighton	Fulham	2	2	D
Chelsea	Bournemouth	2	0	H
Leicester	Liverpool	1	2	A
Man City	Newcastle	2	1	H
West Ham	Wolves	0	1	A
Crystal Palace	Southampton	0	2	A
Everton	Huddersfield	1	1	D
Man United	Tottenham	0	3	A
Watford	Crystal Palace	2	1	H
Newcastle	Chelsea	1	2	A
Fulham	Burnley	4	2	H
Arsenal	West Ham	3	1	H
Huddersfield	Cardiff	0	0	D
Liverpool	Brighton	1	0	H
Bournemouth	Everton	2	2	D
Wolves	Man City	1	1	D
Southampton	Leicester	1	2	A
Crystal Palace	Liverpool	0	2	A
Brighton	Man United	3	2	H
Burnley	Watford	1	3	A
Man City	Huddersfield	6	1	H
Chelsea	Arsenal	3	2	H
Cardiff	Newcastle	0	0	D
Leicester	Wolves	2	0	H
West Ham	Bournemouth	1	2	A
Everton	Southampton	2	1	H
Tottenham	Fulham	3	1	H
Southampton	Burnley	0	0	D
Arsenal	Man City	0	2	A
Liverpool	West Ham	4	0	H
Bournemouth	Cardiff	2	0	H
Newcastle	Tottenham	1	2	A
Watford	Brighton	2	0	H
Wolves	Everton	2	2	D
Fulham	Crystal Palace	0	2	A
Huddersfield	Chelsea	0	3	A
Man United	Leicester	2	1	H
Tottenham	Leicester	5	4	H
Swansea	Stoke	1	2	A
Southampton	Man City	0	1	A
Man United	Watford	1	0	H
Newcastle	Chelsea	3	0	H
Crystal Palace	West Brom	2	0	H
Burnley	Bournemouth	1	2	A
West Ham	Everton	3	1	H
Liverpool	Brighton	4	0	H
Huddersfield	Arsenal	0	1	A
West Ham	Man United	0	0	D
Leicester	Arsenal	3	1	H
Tottenham	Newcastle	1	0	H
Chelsea	Huddersfield	1	1	D
Man City	Brighton	3	1	H
Swansea	Southampton	0	1	A
Chelsea	Liverpool	1	0	H
Arsenal	Burnley	5	0	H
Man City	Huddersfield	0	0	D
Leicester	West Ham	0	2	A
Watford	Newcastle	2	1	H
Bournemouth	Swansea	1	0	H
Stoke	Crystal Palace	1	2	A
West Brom	Tottenham	1	0	H
Everton	Southampton	1	1	D
Brighton	Man United	1	0	H
Tottenham	Watford	2	0	H
West Ham	Man City	1	4	A
Man United	Arsenal	2	1	H
Burnley	Brighton	0	0	D
Liverpool	Stoke	0	0	D
Southampton	Bournemouth	2	1	H
Newcastle	West Brom	0	1	A
Huddersfield	Everton	0	2	A
Swansea	Chelsea	0	1	A
Crystal Palace	Leicester	5	0	H
Everton	Newcastle	1	0	H
Stoke	Burnley	1	1	D
Arsenal	West Ham	4	1	H
Man City	Swansea	5	0	H
West Brom	Liverpool	2	2	D
Watford	Crystal Palace	0	0	D
Burnley	Chelsea	1	2	A
Leicester	Southampton	0	0	D
Bournemouth	Man United	0	2	A
Brighton	Tottenham	1	1	D
West Ham	Stoke	1	1	D
Newcastle	Arsenal	2	1	H
Man United	West Brom	0	1	A
Huddersfield	Watford	1	0	H
Swansea	Everton	1	1	D
Liverpool	Bournemouth	3	0	H
Crystal Palace	Brighton	3	2	H
Burnley	Leicester	2	1	H
Southampton	Chelsea	2	3	A
Tottenham	Man City	1	3	A
Chelsea	West Ham	1	1	D
Arsenal	Southampton	3	2	H
Man City	Man United	2	3	A
Stoke	Tottenham	1	2	A
West Brom	Swansea	1	1	D
Everton	Liverpool	0	0	D
Bournemouth	Crystal Palace	2	2	D
Brighton	Huddersfield	1	1	D
Leicester	Newcastle	1	2	A
Watford	Burnley	1	2	A
Chelsea	Tottenham	1	3	A
Arsenal	Stoke	3	0	H
Man United	Swansea	2	0	H
Brighton	Leicester	0	2	A
Everton	Man City	1	3	A
Newcastle	Huddersfield	1	0	H
Crystal Palace	Liverpool	1	2	A
West Brom	Burnley	1	2	A
Watford	Bournemouth	2	2	D
West Ham	Southampton	3	0	H
Huddersfield	Crystal Palace	0	2	A
Liverpool	Watford	5	0	H
Bournemouth	West Brom	2	1	H
Stoke	Everton	1	2	A
Stoke	Man City	0	2	A
Arsenal	Watford	3	0	H
Bournemouth	Tottenham	1	4	A
Huddersfield	Swansea	0	0	D
West Brom	Leicester	1	4	A
Newcastle	Southampton	3	0	H
Chelsea	Crystal Palace	2	1	H
Man United	Liverpool	2	1	H
Everton	Brighton	2	0	H
West Ham	Burnley	0	3	A
Crystal Palace	Man United	2	3	A
Man City	Chelsea	1	0	H
Brighton	Arsenal	2	1	H
Liverpool	Newcastle	2	0	H
Burnley	Everton	2	1	H
Tottenham	Huddersfield	2	0	H
Leicester	Bournemouth	1	1	D
Watford	West Brom	1	0	H
Swansea	West Ham	4	1	H
Southampton	Stoke	0	0	D
Arsenal	Man City	0	3	A
Crystal Palace	Tottenham	0	1	A
Man United	Chelsea	2	1	H
West Brom	Huddersfield	1	2	A
Brighton	Swansea	4	1	H
Liverpool	West Ham	4	1	H
Burnley	Southampton	1	1	D
Bournemouth	Newcastle	2	2	D
Leicester	Stoke	1	1	D
Watford	Everton	1	0	H
Chelsea	West Brom	3	0	H
Southampton	Liverpool	0	2	A
Newcastle	Man United	1	0	H
Huddersfield	Bournemouth	4	1	H
Everton	Crystal Palace	3	1	H
Stoke	Brighton	1	1	D
Tottenham	Arsenal	1	0	H
Man City	Leicester	5	1	H
West Ham	Watford	2	0	H
Swansea	Burnley	1	0	H
Watford	Chelsea	4	1	H
Liverpool	Tottenham	2	2	D
Crystal Palace	Newcastle	1	1	D
Bournemouth	Stoke	2	1	H
West Brom	Southampton	2	3	A
Brighton	West Ham	3	1	H
Arsenal	Everton	5	1	H
Man United	Huddersfield	2	0	H
Leicester	Swansea	1	1	D
Burnley	Man City	1	1	D
Tottenham	Man United	2	0	H
Newcastle	Burnley	1	1	D
Stoke	Watford	0	0	D
Everton	Leicester	2	1	H
Man City	West Brom	3	0	H
Southampton	Brighton	1	1	D
Chelsea	Bournemouth	0	3	A
West Ham	Crystal Palace	1	1	D
Swansea	Arsenal	3	1	H
Huddersfield	Liverpool	0	3	A
Swansea	Liverpool	1	0	H
Southampton	Tottenham	1	1	D
Arsenal	Crystal Palace	4	1	H
Leicester	Watford	2	0	H
West Ham	Bournemouth	1	1	D
Everton	West Brom	1	1	D
Burnley	Man United	0	1	A
Man City	Newcastle	3	1	H
Brighton	Chelsea	0	4	A
Stoke	Huddersfield	2	0	H
Man United	Stoke	3	0	H
Liverpool	Man City	4	3	H
Bournemouth	Arsenal	2	1	H
Huddersfield	West Ham	1	4	A
Watford	Southampton	2	2	D
West Brom	Brighton	2	0	H
Crystal Palace	Burnley	1	0	H
Tottenham	Everton	4	0	H
Newcastle	Swansea	1	1	D
Chelsea	Leicester	0	0	D
Tottenham	West Ham	1	1	D
Arsenal	Chelsea	2	2	D
Man City	Watford	3	1	H
Southampton	Crystal Palace	1	2	A
Swansea	Tottenham	0	2	A
West Ham	West Brom	2	1	H
Brighton	Bournemouth	2	2	D
Burnley	Liverpool	1	2	A
Stoke	Newcastle	0	1	A
Leicester	Huddersfield	3	0	H
Everton	Man United	0	2	A
West Brom	Arsenal	1	1	D
Crystal Palace	Man City	0	0	D
Bournemouth	Everton	2	1	H
Watford	Swansea	1	2	A
Newcastle	Brighton	0	0	D
Liverpool	Leicester	2	1	H
Man United	Southampton	0	0	D
Huddersfield	Burnley	0	0	D
Chelsea	Stoke	5	0	H
Crystal Palace	Arsenal	2	3	A
Newcastle	Man City	0	1	A
Chelsea	Brighton	2	0	H
Tottenham	Southampton	5	2	H
Watford	Leicester	2	1	H
Bournemouth	West Ham	3	3	D
Huddersfield	Stoke	1	1	D
Liverpool	Swansea	5	0	H
Man United	Burnley	2	2	D
West Brom	Everton	0	0	D
Burnley	Tottenham	0	3	A
Leicester	Man United	2	2	D
West Ham	Newcastle	2	3	A
Brighton	Watford	1	0	H
Man City	Bournemouth	4	0	H
Southampton	Huddersfield	1	1	D
Everton	Chelsea	0	0	D
Stoke	West Brom	3	1	H
Swansea	Crystal Palace	1	1	D
Arsenal	Liverpool	3	3	D
Everton	Swansea	3	1	H
West Brom	Man United	1	2	A
Bournemouth	Liverpool	0	4	A
Stoke	West Ham	0	3	A
Chelsea	Southampton	1	0	H
Watford	Huddersfield	1	4	A
Arsenal	Newcastle	1	0	H
Man City	Tottenham	4	1	H
Brighton	Burnley	0	0	D
Leicester	Crystal Palace	0	3	A
Newcastle	Everton	0	1	A
Liverpool	West Brom	0	0	D
Tottenham	Brighton	2	0	H
Man United	Bournemouth	1	0	H
West Ham	Arsenal	0	0	D
Swansea	Man City	0	4	A
Southampton	Leicester	1	4	A
Crystal Palace	Watford	2	1	H
Burnley	Stoke	1	0	H
Huddersfield	Chelsea	1	3	A
Liverpool	Everton	1	1	D
Southampton	Arsenal	1	1	D
Man United	Man City	1	2	A
Burnley	Watford	1	0	H
Huddersfield	Brighton	2	0	H
West Ham	Chelsea	1	0	H
Crystal Palace	Bournemouth	2	2	D
Newcastle	Leicester	2	3	A
Tottenham	Stoke	5	1	H
Swansea	West Brom	1	0	H
Man City	West Ham	2	1	H
Bournemouth	Southampton	1	1	D
Everton	Huddersfield	2	0	H
Stoke	Swansea	2	1	H
Leicester	Burnley	1	0	H
Chelsea	Newcastle	3	1	H
Watford	Tottenham	1	1	D
Arsenal	Man United	1	3	A
West Brom	Crystal Palace	0	0	D
Brighton	Liverpool	1	5	A
Man City	Southampton	2	1	H
Everton	West Ham	4	0	H
Stoke	Liverpool	0	3	A
Bournemouth	Burnley	1	2	A
Chelsea	Swansea	1	0	H
Arsenal	Huddersfield	5	0	H
Leicester	Tottenham	2	1	H
Brighton	Crystal Palace	0	0	D
Watford	Man United	2	4	A
West Brom	Newcastle	2	2	D
Huddersfield	Man City	1	2	A
Burnley	Arsenal	0	1	A
Southampton	Everton	4	1	H
Crystal Palace	Stoke	2	1	H
Man United	Brighton	1	0	H
Newcastle	Watford	0	3	A
Tottenham	West Brom	1	1	D
Swansea	Bournemouth	0	0	D
Liverpool	Chelsea	1	1	D
West Ham	Leicester	1	1	D
Brighton	Stoke	2	2	D
Watford	West Ham	2	0	H
West Brom	Chelsea	0	4	A
Man United	Newcastle	4	1	H
Bournemouth	Huddersfield	4	0	H
Liverpool	Southampton	3	0	H
Burnley	Swansea	2	0	H
Crystal Palace	Everton	2	2	D
Arsenal	Tottenham	2	0	H
Leicester	Man City	0	2	A
Chelsea	Man United	1	0	H
Man City	Arsenal	3	1	H
Everton	Watford	3	2	H
Tottenham	Crystal Palace	1	0	H
Newcastle	Bournemouth	0	1	A
West Ham	Liverpool	1	4	A
Huddersfield	West Brom	1	0	H
Stoke	Leicester	2	2	D
Swansea	Brighton	0	1	A
Southampton	Burnley	0	1	A
Burnley	Newcastle	1	0	H
Leicester	Everton	2	0	H
Brighton	Southampton	1	1	D
Liverpool	Huddersfield	3	0	H
Man United	Tottenham	1	0	H
Bournemouth	Chelsea	0	1	A
West Brom	Man City	2	3	A
Crystal Palace	West Ham	2	2	D
Arsenal	Swansea	2	1	H
Watford	Stoke	0	1	A
Tottenham	Liverpool	4	1	H
Everton	Arsenal	2	5	A
Chelsea	Watford	4	2	H
Huddersfield	Man United	2	1	H
Swansea	Leicester	1	2	A
Newcastle	Crystal Palace	1	0	H
Southampton	West Brom	1	0	H
Man City	Burnley	3	0	H
Stoke	Bournemouth	1	2	A
West Ham	Brighton	0	3	A
Leicester	West Brom	1	1	D
Southampton	Newcastle	2	2	D
Brighton	Everton	1	1	D
Watford	Arsenal	2	1	H
Crystal Palace	Chelsea	2	1	H
Burnley	West Ham	1	1	D
Liverpool	Man United	0	0	D
Swansea	Huddersfield	2	0	H
Man City	Stoke	7	2	H
Tottenham	Bournemouth	1	0	H
Newcastle	Liverpool	1	1	D
Arsenal	Brighton	2	0	H
Everton	Burnley	0	1	A
West Brom	Watford	2	2	D
Stoke	Southampton	2	1	H
Huddersfield	Tottenham	0	4	A
Bournemouth	Leicester	0	0	D
Man United	Crystal Palace	4	0	H
Chelsea	Man City	0	1	A
West Ham	Swansea	1	0	H
Arsenal	West Brom	2	0	H
Brighton	Newcastle	1	0	H
West Ham	Tottenham	2	3	A
Man City	Crystal Palace	5	0	H
Swansea	Watford	1	2	A
Everton	Bournemouth	2	1	H
Stoke	Chelsea	0	4	A
Burnley	Huddersfield	0	0	D
Southampton	Man United	0	1	A
Leicester	Liverpool	2	3	A
Chelsea	Arsenal	0	0	D
Man United	Everton	4	0	H
Huddersfield	Leicester	1	1	D
Watford	Man City	0	6	A
Liverpool	Burnley	1	1	D
West Brom	West Ham	0	0	D
Newcastle	Stoke	2	1	H
Crystal Palace	Southampton	0	1	A
Tottenham	Swansea	0	0	D
Bournemouth	Brighton	2	1	H
West Ham	Huddersfield	2	0	H
Swansea	Newcastle	0	1	A
Burnley	Crystal Palace	1	0	H
Southampton	Watford	0	2	A
Everton	Tottenham	0	3	A
Man City	Liverpool	5	0	H
Leicester	Chelsea	1	2	A
Arsenal	Bournemouth	3	0	H
Stoke	Man United	2	2	D
Brighton	West Brom	3	1	H
Tottenham	Burnley	1	1	D
Liverpool	Arsenal	4	0	H
Chelsea	Everton	2	0	H
West Brom	Stoke	1	1	D
Huddersfield	Southampton	0	0	D
Newcastle	West Ham	3	0	H
Man United	Leicester	2	0	H
Crystal Palace	Swansea	0	2	A
Bournemouth	Man City	1	2	A
Watford	Brighton	0	0	D
Man City	Everton	1	1	D
Tottenham	Chelsea	1	2	A
Huddersfield	Newcastle	1	0	H
Liverpool	Crystal Palace	1	0	H
Swansea	Man United	0	4	A
Leicester	Brighton	2	0	H
Burnley	West Brom	0	1	A
Southampton	West Ham	3	2	H
Bournemouth	Watford	0	2	A
Stoke	Arsenal	1	0	H
Newcastle	Tottenham	0	2	A
Man United	West Ham	4	0	H
West Brom	Bournemouth	1	0	H
Chelsea	Burnley	2	3	A
Everton	Stoke	1	0	H
Brighton	Man City	0	2	A
Southampton	Swansea	0	0	D
Watford	Liverpool	3	3	D
Crystal Palace	Huddersfield	0	3	A
Arsenal	Leicester	4	3	H
Hull	Tottenham	1	7	A
Swansea	West Brom	2	1	H
Arsenal	Everton	3	1	H
Chelsea	Sunderland	5	1	H
Burnley	West Ham	1	2	A
Liverpool	Middlesbrough	3	0	H
Man United	Crystal Palace	2	0	H
Southampton	Stoke	0	1	A
Watford	Man City	0	5	A
Leicester	Bournemouth	1	1	D
Leicester	Tottenham	1	6	A
Southampton	Man United	0	0	D
Man City	West Brom	3	1	H
Arsenal	Sunderland	2	0	H
Chelsea	Watford	4	3	H
West Ham	Liverpool	0	4	A
Tottenham	Man United	2	1	H
Crystal Palace	Hull	4	0	H
Bournemouth	Burnley	2	1	H
Sunderland	Swansea	0	2	A
Man City	Leicester	2	1	H
Stoke	Arsenal	1	4	A
Middlesbrough	Southampton	1	2	A
West Brom	Chelsea	0	1	A
Everton	Watford	1	0	H
Southampton	Arsenal	0	2	A
Chelsea	Middlesbrough	3	0	H
Arsenal	Man United	2	0	H
Liverpool	Southampton	0	0	D
Hull	Sunderland	0	2	A
Leicester	Watford	3	0	H
Man City	Crystal Palace	5	0	H
Burnley	West Brom	2	2	D
Bournemouth	Stoke	2	2	D
Swansea	Everton	1	0	H
West Ham	Tottenham	1	0	H
Watford	Liverpool	0	1	A
Middlesbrough	Man City	2	2	D
Man United	Swansea	1	1	D
Everton	Chelsea	0	3	A
Tottenham	Arsenal	2	0	H
West Brom	Leicester	0	1	A
Stoke	West Ham	0	0	D
Sunderland	Bournemouth	0	1	A
Crystal Palace	Burnley	0	2	A
Southampton	Hull	0	0	D
Man City	Man United	0	0	D
Crystal Palace	Tottenham	0	1	A
Middlesbrough	Sunderland	1	0	H
Arsenal	Leicester	1	0	H
Chelsea	Southampton	4	2	H
Burnley	Man United	0	2	A
Liverpool	Crystal Palace	1	2	A
Swansea	Stoke	2	0	H
Bournemouth	Middlesbrough	4	0	H
West Ham	Everton	0	0	D
Hull	Watford	2	0	H
Middlesbrough	Arsenal	1	2	A
West Brom	Liverpool	0	1	A
Man United	Chelsea	2	0	H
Sunderland	West Ham	2	2	D
Everton	Burnley	3	1	H
Tottenham	Bournemouth	4	0	H
Southampton	Man City	0	3	A
Stoke	Hull	3	1	H
Watford	Swansea	1	0	H
Crystal Palace	Leicester	2	2	D
Crystal Palace	Arsenal	3	0	H
Everton	Leicester	4	2	H
Sunderland	Man United	0	3	A
Stoke	Liverpool	1	2	A
West Ham	Swansea	1	0	H
Middlesbrough	Burnley	0	0	D
Bournemouth	Chelsea	1	3	A
Tottenham	Watford	4	0	H
West Brom	Southampton	0	1	A
Man City	Hull	3	1	H
Liverpool	Bournemouth	2	2	D
Southampton	Crystal Palace	3	1	H
Chelsea	Man City	2	1	H
Arsenal	West Ham	3	0	H
Hull	Middlesbrough	4	2	H
Swansea	Tottenham	1	3	A
Leicester	Sunderland	2	0	H
Watford	West Brom	2	0	H
Man United	Everton	1	1	D
Burnley	Stoke	1	0	H
Arsenal	Man City	2	2	D
Swansea	Middlesbrough	0	0	D
Man United	West Brom	0	0	D
Hull	West Ham	2	1	H
Burnley	Tottenham	0	2	A
Leicester	Stoke	2	0	H
Chelsea	Crystal Palace	1	2	A
Liverpool	Everton	3	1	H
Southampton	Bournemouth	0	0	D
Watford	Sunderland	1	0	H
Tottenham	Southampton	2	1	H
Man City	Liverpool	1	1	D
Middlesbrough	Man United	1	3	A
Sunderland	Burnley	0	0	D
Crystal Palace	Watford	1	0	H
Everton	Hull	4	0	H
Stoke	Chelsea	1	2	A
Bournemouth	Swansea	2	0	H
West Brom	Arsenal	3	1	H
West Ham	Leicester	2	3	A
Liverpool	Burnley	2	1	H
Bournemouth	West Ham	3	2	H
Everton	West Brom	3	0	H
Hull	Swansea	2	1	H
Man City	Stoke	0	0	D
West Ham	Chelsea	1	2	A
Sunderland	Man City	0	2	A
Tottenham	Everton	3	2	H
West Brom	Crystal Palace	0	2	A
Watford	Southampton	3	4	A
Liverpool	Arsenal	3	1	H
Leicester	Hull	3	1	H
Stoke	Middlesbrough	2	0	H
Man United	Bournemouth	1	1	D
Swansea	Burnley	3	2	H
Leicester	Liverpool	3	1	H
Tottenham	Stoke	4	0	H
West Brom	Bournemouth	2	1	H
Hull	Burnley	1	1	D
Chelsea	Swansea	3	1	H
Watford	West Ham	1	1	D
Crystal Palace	Middlesbrough	1	0	H
Everton	Sunderland	2	0	H
Bournemouth	Man City	0	2	A
Burnley	Chelsea	1	1	D
Swansea	Leicester	2	0	H
Stoke	Crystal Palace	1	0	H
Arsenal	Hull	2	0	H
Middlesbrough	Everton	0	0	D
West Ham	West Brom	2	2	D
Man United	Watford	2	0	H
Liverpool	Tottenham	2	0	H
Sunderland	Southampton	0	4	A
Man City	Swansea	2	1	H
Leicester	Man United	0	3	A
Southampton	West Ham	1	3	A
Crystal Palace	Sunderland	0	4	A
Tottenham	Middlesbrough	1	0	H
Hull	Liverpool	2	0	H
West Brom	Stoke	1	0	H
Everton	Bournemouth	6	3	H
Watford	Burnley	2	1	H
Chelsea	Arsenal	3	1	H
Stoke	Everton	1	1	D
West Ham	Man City	0	4	A
Man United	Hull	0	0	D
Middlesbrough	West Brom	1	1	D
Arsenal	Watford	1	2	A
Swansea	Southampton	2	1	H
Sunderland	Tottenham	0	0	D
Liverpool	Chelsea	1	1	D
Burnley	Leicester	1	0	H
Bournemouth	Crystal Palace	0	2	A
Southampton	Leicester	3	0	H
Chelsea	Hull	2	0	H
Arsenal	Burnley	2	1	H
Man City	Tottenham	2	2	D
Liverpool	Swansea	2	3	A
West Brom	Sunderland	2	0	H
Middlesbrough	West Ham	1	3	A
Crystal Palace	Everton	0	1	A
Stoke	Man United	1	1	D
Bournemouth	Watford	2	2	D
Everton	Man City	4	0	H
Man United	Liverpool	1	1	D
Tottenham	West Brom	4	0	H
Sunderland	Stoke	1	3	A
West Ham	Crystal Palace	3	0	H
Burnley	Southampton	1	0	H
Watford	Middlesbrough	0	0	D
Leicester	Chelsea	0	3	A
Hull	Bournemouth	3	1	H
Swansea	Arsenal	0	4	A
Tottenham	Chelsea	2	0	H
Bournemouth	Arsenal	3	3	D
Crystal Palace	Swansea	1	2	A
Stoke	Watford	2	0	H
Man City	Burnley	2	1	H
Everton	Southampton	3	0	H
Middlesbrough	Leicester	0	0	D
West Brom	Hull	3	1	H
Sunderland	Liverpool	2	2	D
West Ham	Man United	0	2	A
Watford	Tottenham	1	4	A
Arsenal	Crystal Palace	2	0	H
Chelsea	Stoke	4	2	H
Liverpool	Man City	1	0	H
Swansea	Bournemouth	0	3	A
Burnley	Sunderland	4	1	H
Leicester	West Ham	1	0	H
Southampton	West Brom	1	2	A
Man United	Middlesbrough	2	1	H
Hull	Everton	2	2	D
Southampton	Tottenham	1	4	A
Liverpool	Stoke	4	1	H
Swansea	West Ham	1	4	A
Man United	Sunderland	3	1	H
Leicester	Everton	0	2	A
Chelsea	Bournemouth	3	0	H
Hull	Man City	0	3	A
Burnley	Middlesbrough	1	0	H
Arsenal	West Brom	1	0	H
Watford	Crystal Palace	1	1	D
Everton	Liverpool	0	1	A
Bournemouth	Southampton	1	3	A
