HomeTeam	AwayTeam	FTH Goals	FTA Goals	FT Result
Chelsea	Crystal Palace	1	1	D
Man United	Liverpool	0	3	A
Nott'm Forest	Wolves	1	1	D
Everton	Bournemouth	2	3	A
Brentford	Southampton	3	1	H
West Ham	Man City	1	3	A
Leicester	Aston Villa	1	2	A
Arsenal	Brighton	1	1	D
Ipswich	Fulham	1	1	D
Wolves	Chelsea	2	6	A
Liverpool	Brentford	2	0	H
Bournemouth	Newcastle	1	1	D
Tottenham	Everton	4	0	H
Man City	Ipswich	4	1	H
Aston Villa	Arsenal	0	2	A
Southampton	Nott'm Forest	0	1	A
Crystal Palace	West Ham	0	2	A
Fulham	Leicester	2	1	H
Brighton	Man United	2	1	H
Leicester	Tottenham	1	1	D
Brentford	Crystal Palace	2	1	H
Chelsea	Man City	0	2	A
West Ham	Aston Villa	1	2	A
Newcastle	Southampton	1	0	H
Ipswich	Liverpool	0	2	A
Arsenal	Wolves	2	0	H
Nott'm Forest	Bournemouth	1	1	D
Everton	Brighton	0	3	A
Man United	Fulham	1	0	H
Chelsea	Bournemouth	2	1	H
Brighton	Man United	0	2	A
Crystal Palace	Aston Villa	5	0	H
Arsenal	Everton	2	1	H
Sheffield United	Tottenham	0	3	A
Liverpool	Wolves	2	0	H
Burnley	Nott'm Forest	1	2	A
Brentford	Newcastle	2	4	A
Man City	West Ham	3	1	H
Luton	Fulham	2	4	A
Man United	Newcastle	3	2	H
Brighton	Chelsea	1	2	A
Tottenham	Man City	0	2	A
Aston Villa	Liverpool	3	3	D
Man United	Arsenal	0	1	A
Fulham	Man City	0	4	A
Wolves	Crystal Palace	1	3	A
Newcastle	Brighton	1	1	D
West Ham	Luton	3	1	H
Tottenham	Burnley	2	1	H
Everton	Sheffield United	1	0	H
Nott'm Forest	Chelsea	2	3	A
Bournemouth	Brentford	1	2	A
Crystal Palace	Man United	4	0	H
Liverpool	Tottenham	4	2	H
Brighton	Aston Villa	1	0	H
Chelsea	West Ham	5	0	H
Man City	Wolves	5	1	H
Burnley	Newcastle	1	4	A
Sheffield United	Nott'm Forest	1	3	A
Arsenal	Bournemouth	3	0	H
Brentford	Fulham	0	0	D
Luton	Everton	1	1	D
Chelsea	Tottenham	2	0	H
Tottenham	Arsenal	2	3	A
Bournemouth	Brighton	3	0	H
Nott'm Forest	Man City	0	2	A
Aston Villa	Chelsea	2	2	D
Newcastle	Sheffield United	5	1	H
Everton	Brentford	1	0	H
West Ham	Liverpool	2	2	D
Fulham	Crystal Palace	1	1	D
Wolves	Luton	2	1	H
Man United	Burnley	1	1	D
Brighton	Man City	0	4	A
Crystal Palace	Newcastle	2	0	H
Man United	Sheffield United	4	2	H
Everton	Liverpool	2	0	H
Wolves	Bournemouth	0	1	A
Arsenal	Chelsea	5	0	H
Crystal Palace	West Ham	5	2	H
Fulham	Liverpool	1	3	A
Aston Villa	Bournemouth	3	1	H
Everton	Nott'm Forest	2	0	H
Luton	Brentford	1	5	A
Wolves	Arsenal	0	2	A
Sheffield United	Burnley	1	4	A
Chelsea	Everton	6	0	H
Liverpool	Crystal Palace	0	1	A
Arsenal	Aston Villa	0	2	A
West Ham	Fulham	0	2	A
Burnley	Brighton	1	1	D
Bournemouth	Man United	2	2	D
Brentford	Sheffield United	2	0	H
Man City	Luton	5	1	H
Newcastle	Tottenham	4	0	H
Nott'm Forest	Wolves	2	2	D
Man United	Liverpool	2	2	D
Sheffield United	Chelsea	2	2	D
Tottenham	Nott'm Forest	3	1	H
Luton	Bournemouth	2	1	H
Fulham	Newcastle	0	1	A
Crystal Palace	Man City	2	4	A
Wolves	West Ham	1	2	A
Brighton	Arsenal	0	3	A
Everton	Burnley	1	0	H
Aston Villa	Brentford	3	3	D
Liverpool	Sheffield United	3	1	H
Chelsea	Man United	4	3	H
Man City	Aston Villa	4	1	H
Arsenal	Luton	2	0	H
Brentford	Brighton	0	0	D
Newcastle	Everton	1	1	D
Nott'm Forest	Fulham	3	1	H
Bournemouth	Crystal Palace	1	0	H
West Ham	Tottenham	1	1	D
Burnley	Wolves	1	1	D
Liverpool	Brighton	2	1	H
Man City	Arsenal	0	0	D
Bournemouth	Everton	2	1	H
Chelsea	Burnley	2	2	D
Sheffield United	Fulham	3	3	D
Nott'm Forest	Crystal Palace	1	1	D
Tottenham	Luton	2	1	H
Newcastle	West Ham	4	3	H
Aston Villa	Wolves	2	0	H
Brentford	Man United	1	1	D
West Ham	Aston Villa	1	1	D
Luton	Nott'm Forest	1	1	D
Burnley	Brentford	2	1	H
Fulham	Tottenham	3	0	H
Bournemouth	Luton	4	3	H
Chelsea	Newcastle	3	2	H
Brighton	Nott'm Forest	1	0	H
Liverpool	Man City	1	1	D
Aston Villa	Tottenham	0	4	A
West Ham	Burnley	2	2	D
Arsenal	Brentford	2	1	H
Man United	Everton	2	0	H
Wolves	Fulham	2	1	H
Crystal Palace	Luton	1	1	D
Bournemouth	Sheffield United	2	2	D
Sheffield United	Arsenal	0	6	A
Man City	Man United	3	1	H
Burnley	Bournemouth	0	2	A
Nott'm Forest	Liverpool	0	1	A
Brentford	Chelsea	2	2	D
Fulham	Brighton	3	0	H
Everton	West Ham	1	3	A
Newcastle	Wolves	3	0	H
Tottenham	Crystal Palace	3	1	H
Luton	Aston Villa	2	3	A
West Ham	Brentford	4	2	H
Wolves	Sheffield United	1	0	H
Aston Villa	Nott'm Forest	4	2	H
Man United	Fulham	1	2	A
Brighton	Everton	1	1	D
Bournemouth	Man City	0	1	A
Crystal Palace	Burnley	3	0	H
Arsenal	Newcastle	4	1	H
Liverpool	Luton	4	1	H
Man City	Brentford	1	0	H
Everton	Crystal Palace	1	1	D
Luton	Man United	1	2	A
Sheffield United	Brighton	0	5	A
Burnley	Arsenal	0	5	A
Tottenham	Wolves	1	2	A
Brentford	Liverpool	1	4	A
Fulham	Aston Villa	1	2	A
Newcastle	Bournemouth	2	2	D
Man City	Chelsea	1	1	D
Nott'm Forest	West Ham	2	0	H
Crystal Palace	Chelsea	1	3	A
West Ham	Arsenal	0	6	A
Aston Villa	Man United	1	2	A
Man City	Everton	2	0	H
Nott'm Forest	Newcastle	2	3	A
Liverpool	Burnley	3	1	H
Luton	Sheffield United	1	3	A
Wolves	Brentford	0	2	A
Fulham	Bournemouth	3	1	H
Tottenham	Brighton	2	1	H
Brentford	Man City	1	3	A
Arsenal	Liverpool	3	1	H
Bournemouth	Nott'm Forest	1	1	D
Man United	West Ham	3	0	H
Chelsea	Wolves	2	4	A
Everton	Tottenham	2	2	D
Burnley	Fulham	2	2	D
Sheffield United	Aston Villa	0	5	A
Newcastle	Luton	4	4	D
Brighton	Crystal Palace	4	1	H
West Ham	Bournemouth	1	1	D
Wolves	Man United	3	4	A
Man City	Burnley	3	1	H
Tottenham	Brentford	3	2	H
Liverpool	Chelsea	4	1	H
Nott'm Forest	Arsenal	1	2	A
Crystal Palace	Sheffield United	3	2	H
Aston Villa	Newcastle	1	3	A
Fulham	Everton	0	0	D
Luton	Brighton	4	0	H
Brighton	Wolves	0	0	D
Sheffield United	West Ham	2	2	D
Bournemouth	Liverpool	0	4	A
Brentford	Nott'm Forest	3	2	H
Arsenal	Crystal Palace	5	0	H
Everton	Aston Villa	0	0	D
Man United	Tottenham	2	2	D
Chelsea	Fulham	1	0	H
Newcastle	Man City	2	3	A
Burnley	Luton	1	1	D
West Ham	Brighton	0	0	D
Liverpool	Newcastle	4	2	H
Fulham	Arsenal	2	1	H
Tottenham	Bournemouth	3	1	H
Crystal Palace	Brentford	3	1	H
Nott'm Forest	Man United	2	1	H
Man City	Sheffield United	2	0	H
Wolves	Everton	3	0	H
Luton	Chelsea	2	3	A
Aston Villa	Burnley	3	2	H
Brighton	Tottenham	4	2	H
Arsenal	West Ham	0	2	A
Everton	Man City	1	3	A
Chelsea	Crystal Palace	2	1	H
Brentford	Wolves	1	4	A
Newcastle	Nott'm Forest	1	3	A
Sheffield United	Luton	2	3	A
Bournemouth	Fulham	3	0	H
Man United	Aston Villa	3	2	H
Burnley	Liverpool	0	2	A
Wolves	Chelsea	2	1	H
Tottenham	Everton	2	1	H
Liverpool	Arsenal	1	1	D
Nott'm Forest	Bournemouth	2	3	A
West Ham	Man United	2	0	H
Luton	Newcastle	1	0	H
Fulham	Burnley	0	2	A
Aston Villa	Sheffield United	1	1	D
Crystal Palace	Brighton	1	1	D
Brentford	Aston Villa	1	2	A
Liverpool	Man United	0	0	D
West Ham	Wolves	3	0	H
Arsenal	Brighton	2	0	H
Newcastle	Fulham	3	0	H
Burnley	Everton	0	2	A
Chelsea	Sheffield United	2	0	H
Man City	Crystal Palace	2	2	D
Nott'm Forest	Tottenham	0	2	A
Luton	Man City	1	2	A
Tottenham	Newcastle	4	1	H
Fulham	West Ham	5	0	H
Everton	Chelsea	2	0	H
Wolves	Nott'm Forest	1	1	D
Aston Villa	Arsenal	1	0	H
Brighton	Burnley	1	1	D
Man United	Bournemouth	0	3	A
Crystal Palace	Liverpool	1	2	A
Sheffield United	Brentford	1	0	H
Tottenham	West Ham	1	2	A
Everton	Newcastle	3	0	H
Aston Villa	Man City	1	0	H
Brighton	Brentford	2	1	H
Sheffield United	Liverpool	0	2	A
Man United	Chelsea	2	1	H
Fulham	Nott'm Forest	5	0	H
Crystal Palace	Bournemouth	0	2	A
Luton	Arsenal	3	4	A
Wolves	Burnley	1	0	H
West Ham	Crystal Palace	1	1	D
Man City	Tottenham	3	3	D
Bournemouth	Aston Villa	2	2	D
